,language,language_code,sentence_id,n,vertex,degree_cent,closeness_cent,betweenness_cent,pagerank_cent,eigenvector_cent,katz_cent,is_root,degree_rank,closeness_rank,betweenness_rank,pagerank_rank,eigenvector_rank,katz_rank
0,Spanish,17,2,17,3,0.1875,6.6345238095238095,0.3416666666666667,0.090342938513601,0.256510553240208,0.267646740183969,0,2.0,6.0,6.0,2.0,7.0,7.0
1,Spanish,17,2,17,14,0.1875,7.15952380952381,0.5666666666666667,0.0860079243332133,0.3271292787100932,0.2701107753760446,0,2.0,2.0,2.0,4.0,4.0,4.0
2,Spanish,17,2,17,13,0.125,5.717857142857143,0.125,0.0637069862391277,0.179380750209346,0.243114832147553,0,5.0,8.0,8.0,7.0,10.0,10.0
3,Spanish,17,2,17,10,0.0625,4.348015873015873,0.0,0.0358986571730214,0.0791921692267803,0.2185593120243056,0,11.0,15.0,11.0,13.0,15.0,15.0
4,Spanish,17,2,17,6,0.125,6.7,0.525,0.0576771885729264,0.3051011171654617,0.2478680544425742,0,5.0,4.0,3.0,10.0,5.0,5.0
5,Spanish,17,2,17,16,0.1875,7.0666666666666655,0.5916666666666667,0.0864141172118136,0.3639690304443698,0.2660915941424076,0,2.0,3.0,1.0,3.0,2.0,2.0
6,Spanish,17,2,17,2,0.0625,5.050000000000002,0.0,0.0333079298674378,0.1606817804161746,0.2208569853683479,0,11.0,11.0,11.0,17.0,11.0,11.0
7,Spanish,17,2,17,7,0.125,6.683333333333334,0.5,0.058275866778028,0.3586631350374224,0.2497127931191978,0,5.0,5.0,5.0,9.0,3.0,3.0
8,Spanish,17,2,17,17,0.25,7.292857142857144,0.5166666666666666,0.1174940472017819,0.4484611635728005,0.2885581666876797,0,1.0,1.0,4.0,1.0,1.0,1.0
9,Spanish,17,2,17,8,0.0625,5.003571428571429,0.0,0.0337914663223549,0.1979813546212477,0.22310364173322,0,11.0,12.0,11.0,15.0,8.0,8.0
10,Spanish,17,2,17,1,0.0625,5.003571428571429,0.0,0.0337914663223549,0.1979813546212477,0.22310364173322,0,11.0,12.0,11.0,15.0,8.0,8.0
11,Spanish,17,2,17,4,0.125,5.920238095238096,0.2333333333333333,0.0622578385209628,0.261213870865665,0.2471835340304455,0,5.0,7.0,7.0,8.0,6.0,6.0
12,Spanish,17,2,17,15,0.125,5.088492063492064,0.125,0.0669785871629896,0.1432325861452555,0.2407989509245181,0,5.0,10.0,8.0,5.0,12.0,12.0
13,Spanish,17,2,17,12,0.0625,3.942857142857143,0.0,0.0372899016103726,0.0632325162444172,0.2183277262795956,0,11.0,17.0,11.0,11.0,16.0,16.0
14,Spanish,17,2,17,9,0.125,5.398015873015873,0.125,0.0656286783859705,0.1406576181699395,0.2428659411158357,1,5.0,9.0,8.0,6.0,13.0,13.0
